,ORF1ab,S,ORF3a,E,M,ORF6,ORF7a,ORF7b,ORF8,N,ORF10,Total
Rs4247_148+n15,0.0,0.0,0.0,44.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,244.0
CpY11+GX2013,0.0,0.0,0.0,198.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0
C007+C020,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,175.0,0.0,243.0
WIV16+n29,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0
Rs9401+n26,0.0,0.0,181.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0
Rs9401+n17,0.0,0.0,0.0,0.0,0.0,43.0,195.0,0.0,0.0,0.0,0.0,238.0
Rs9401+n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,237.0
B039+C007,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,225.0,0.0,237.0
F46+n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,36.0,0.0,0.0,236.0
CpY11+F46,0.0,0.0,41.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0
P4L+P5L,0.0,0.0,0.0,35.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,235.0
Rs4247_147+YN2018C,0.0,0.0,112.0,0.0,23.0,0.0,0.0,0.0,0.0,100.0,0.0,235.0
SARS-CoV+SC2018,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0
n39+n46,0.0,0.0,0.0,0.0,0.0,14.0,218.0,0.0,0.0,0.0,0.0,232.0
HeB2013+YNLF_31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,200.0,231.0
Rf4092+n21,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0
SARS-CoV+n33,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,223.0,0.0,227.0
As6526+Rs672,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,224.0
Rs7327+WIV16,0.0,0.0,0.0,0.0,179.0,44.0,0.0,0.0,0.0,0.0,0.0,223.0
Rp3+n37,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,222.0
Rs4084+n12,0.0,0.0,0.0,0.0,118.0,0.0,0.0,100.0,0.0,0.0,0.0,218.0
n10+n24,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0
Rs7327+n18,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0
Rp3+n39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,214.0
n11+n18,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0
As6526+n10,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0
n21+n40,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0
GX2013+LYRa11,0.0,0.0,0.0,12.0,33.0,0.0,0.0,0.0,165.0,0.0,0.0,210.0
CpY11+n8,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0
Rs4084+n26,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0
Rf4092+YNLF_31C,0.0,0.0,0.0,125.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0
BM48-31+n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,207.0
F46+n35,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0
n44+n5,0.0,0.0,0.0,0.0,0.0,25.0,0.0,37.0,0.0,0.0,144.0,206.0
Rp3+n38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,205.0
SARS-CoV+n2,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0
Rs7327+WIV1,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0
n15+n20,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,100.0,41.0,201.0
Rp3+n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0
Rs4084+Rs4247_147,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0
Rs4084+YN2018D,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,200.0
Rs9401+WIV16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,200.0
Rs7327+n38,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
Rs4231+n24,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
Rp3+Rs4247_148,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,200.0
Rs7327+n8,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,200.0
HeB2013+n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0
n19+n40,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,200.0
Anlong-103+YN2018C,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
C007+Rf4092,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
BM48-31+n3,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
n2+n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0
n2+n40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0
As6526+n26,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0
n12+n41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,200.0
n41+n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,200.0
LYRa11+n37,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
A022+n41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0
HuB2013+n44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,97.0,197.0
F46+Rs672,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0
GX2013+YN2013,0.0,0.0,0.0,42.0,0.0,33.0,0.0,0.0,118.0,0.0,0.0,193.0
n2+n44,0.0,0.0,0.0,0.0,0.0,0.0,149.0,44.0,0.0,0.0,0.0,193.0
YN2018C+n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,192.0
Rs4081+n24,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,192.0
n11+n26,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0
LYRa11+YN2013,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,189.0
GX2013+n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,188.0
n39+n44,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,158.0,0.0,187.0
SC2018+n7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,185.0
LYRa11+n14,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,185.0
n2+n36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,41.0,0.0,181.0
B039+SARS-CoV,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0
n26+n34,0.0,0.0,0.0,24.0,0.0,0.0,100.0,0.0,0.0,0.0,55.0,179.0
Rs4084+n14,0.0,0.0,0.0,0.0,29.0,0.0,0.0,18.0,0.0,126.0,0.0,173.0
Rs672+n23,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0
F46+n9,0.0,0.0,100.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0
CpY11+n35,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,172.0
n40+n44,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,142.0,6.0,171.0
n2+n4,0.0,0.0,18.0,0.0,53.0,0.0,0.0,100.0,0.0,0.0,0.0,171.0
n19+n34,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0
BtKY72+n3,0.0,70.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0
Rf4092+Rs9401,0.0,0.0,0.0,0.0,0.0,145.0,25.0,0.0,0.0,0.0,0.0,170.0
GX2013+n46,0.0,0.0,0.0,74.0,70.0,0.0,0.0,0.0,24.0,0.0,0.0,168.0
n25+n8,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,168.0
YN2018D+n24,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,168.0
Anlong-103+Rs4084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,168.0
Anlong-103+LYRa11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,166.0
n10+n26,153.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0
n22+n29,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,165.0
Anlong-103+n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,164.0
SC2018+n14,0.0,0.0,18.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0
GX2013+n25,0.0,0.0,0.0,12.0,0.0,0.0,0.0,52.0,100.0,0.0,0.0,164.0
n28+n40,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0
n2+n5,0.0,0.0,49.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,163.0
Rs4081+n38,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0
Rs672+n24,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0
Anlong-103+n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,159.0
YN2018A+n24,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0
n36+n6,0.0,138.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,158.0
Rs9401+n27,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0
Rf4092+n11,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0
16BO133+Jiyuan_84,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,6.0,155.0
n2+n47,0.0,72.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0
Rp3+n35,0.0,0.0,0.0,54.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,154.0
n15+n46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,154.0
n13+n9,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0
n34+n39,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,152.0
YNLF_31C+n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,152.0
As6526+Rs4084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,152.0
GX2013+n28,0.0,0.0,0.0,0.0,0.0,52.0,0.0,100.0,0.0,0.0,0.0,152.0
CpY11+Rp3,100.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0
Rf4092+n23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0
YN2018A+n22,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,151.0
LYRa11+Rf4092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,150.0
Rs4247_147+SARS-CoV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0
YN2018A+YN2018B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,148.0
As6526+n35,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0
CpY11+n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,147.0
n12+n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,145.0
Rs4255+n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,144.0
Rf4092+n25,0.0,0.0,0.0,72.0,0.0,0.0,0.0,42.0,0.0,0.0,30.0,144.0
n46+n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,23.0,141.0
n18+n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,96.0,0.0,141.0
n2+n39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,140.0
n21+n28,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0
Rf4092+n26,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,15.0,0.0,60.0,137.0
Rp3+n34,100.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0
HuB2013+n38,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,38.0,0.0,135.0
n13+n8,35.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
n35+n6,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,43.0,135.0
F46+n46,0.0,0.0,0.0,110.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,134.0
CpY11+n46,0.0,0.0,0.0,25.0,97.0,0.0,0.0,6.0,0.0,0.0,6.0,134.0
Rs7327+n13,0.0,0.0,0.0,0.0,0.0,33.0,0.0,100.0,0.0,0.0,0.0,133.0
Rs672+n15,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,132.0
Rs4081+Rs4084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0
BM48-31+n35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0
Rs672+YN2018B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,132.0
Rm1+n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,31.0,131.0
SARS-CoV+n38,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
n22+n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,28.0,0.0,128.0
F46+n2,0.0,0.0,0.0,108.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,126.0
Rs4084+n23,0.0,26.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0
Rf4092+n34,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,126.0
Rp3+Rs4084,0.0,0.0,0.0,100.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,126.0
n24+n26,0.0,0.0,0.0,0.0,25.0,0.0,0.0,100.0,0.0,0.0,0.0,125.0
LYRa11+n2,0.0,0.0,17.0,0.0,74.0,0.0,34.0,0.0,0.0,0.0,0.0,125.0
F46+YNLF_31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,124.0
n18+n31,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
P5L+n52,0.0,100.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
Rs4255+YN2018D,0.0,73.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
Rs4231+SC2018,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,123.0
n34+n38,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,122.0
GX2013+Rs672,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,121.0
YNLF_31C+n42,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,117.0
F46+n26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,15.0,0.0,0.0,115.0
C020+SARS-CoV,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
n15+n39,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
Rs4084+n2,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
SC2018+n15,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,112.0
YN2018D+n22,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
n11+n2,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
n38+n46,0.0,0.0,0.0,0.0,0.0,100.0,11.0,0.0,0.0,0.0,0.0,111.0
YN2018D+n23,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
YN2013+n34,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
YN2018A+n34,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
n15+n38,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,109.0
YN2018C+YN2018D,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
YN2018C+n29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,108.0
Rm1+n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,107.0
n13+n28,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
Rs7327+n20,0.0,0.0,0.0,0.0,51.0,56.0,0.0,0.0,0.0,0.0,0.0,107.0
Rf4092+n15,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,107.0
GX2013+n12,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
n5+n50,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0
16BO133+Rf4092,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
HeB2013+n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,102.0
n14+n38,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Rs7327+SC2018,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
n21+n29,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Rs4255+n10,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
n15+n44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
n16+n35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
n16+n40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
SC2018+n11,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
Rs4247_148+n26,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
n10+n2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
YNLF_31C+n38,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
n19+n39,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
WIV1+n11,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
YN2018A+n27,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
n14+n29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
n19+n27,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
Rs4255+n27,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
n11+n12,0.0,0.0,0.0,0.0,82.0,0.0,0.0,18.0,0.0,0.0,0.0,100.0
n19+n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
WIV16+n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Rs4247_148+n11,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
WIV16+n42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
n18+n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
n11+n37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
SARS-CoV+n19,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
n11+n13,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
n20+n26,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
n10+n37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
n14+n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
n12+n40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
YN2018C+n26,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
